trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
310,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,8,-1.054525120367674,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.37799999999999945}",20,10,16.828821381248652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.37599999999999945}",20,12,9.61634284874455,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.37399999999999944}",25,14,1.3703547152698574,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.37199999999999944}",20,6,-51.97907159521947,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
315,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,7,-25.791731755226376,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
316,False,"{'a': 0.5, 'e': 0.36799999999999944}",35,17,28.590412279505355,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.36599999999999944}",30,16,16.921387637114105,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.36399999999999944}",20,0,-16.039886920761955,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.36199999999999943}",25,8,-32.67258781501366,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,10,6.315232494393416,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.35799999999999943}",20,0,-23.70644459147478,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.35599999999999943}",20,2,-30.883843255076822,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
323,False,"{'a': 0.5, 'e': 0.3539999999999994}",25,20,10.615544427695914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.3519999999999994}",30,1,-10.337051722043283,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,12,-22.06330504400192,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
326,False,"{'a': 0.5, 'e': 0.3479999999999994}",20,0,-22.224658628008598,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
327,False,"{'a': 0.5, 'e': 0.3459999999999994}",25,15,22.101178259574073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.3439999999999994}",35,15,-84.00045176397283,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
329,False,"{'a': 0.5, 'e': 0.3419999999999994}",30,6,-3.4533213944672605,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
330,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-15.590629600772965,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
331,False,"{'a': 0.5, 'e': 0.3379999999999994}",30,19,4.761651486579623,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.3359999999999994}",20,0,-50.26650258539103,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
333,False,"{'a': 0.5, 'e': 0.3339999999999994}",35,15,-9.742115498740834,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.3319999999999994}",20,3,-36.29833502977852,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
335,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,16,9.288969102306696,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.3279999999999994}",25,5,-49.991209400949565,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
337,False,"{'a': 0.5, 'e': 0.3259999999999994}",20,14,-29.774444573839673,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.5, 'e': 0.3239999999999994}",20,5,6.389939304906915,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.3219999999999994}",20,2,-31.29006200367355,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,16,-22.01327192747729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
341,False,"{'a': 0.5, 'e': 0.3179999999999994}",25,9,-5.564803007654115,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.3159999999999994}",20,11,0.4240476946162248,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.3139999999999994}",20,13,14.82281201832723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.3119999999999994}",30,13,3.206211580914281,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,4,34.2311448454214,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.3079999999999994}",20,4,12.662167436612886,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.3059999999999994}",35,9,-7.563910570161017,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.3039999999999994}",30,15,16.722958289782902,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.3019999999999994}",25,18,14.13582014940357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,9,-6.792563817539715,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.2979999999999994}",25,7,-49.89284974374962,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
352,False,"{'a': 0.5, 'e': 0.2959999999999994}",20,16,9.14523130117275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.2939999999999994}",35,17,33.548340133003485,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.29199999999999937}",25,10,27.585209364275983,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,8,-18.96303761850737,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
356,False,"{'a': 0.5, 'e': 0.28799999999999937}",20,13,12.015091796245077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.28599999999999937}",25,14,-9.680891490061521,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.28399999999999936}",20,2,19.381304134579928,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
